#separator:tab
#html:false
comic     - 3 -	comic      1. komický 2. komik 3. komiks
chemistry       - 3 -	chemistry      1. chemie 2. chemické pochody/složení/vlastnosti/procesy 3. vzájemná přitažlivost
physics       - 2 -	physics      1. fyzika 2. fyzikální vlastnosti (programovaných objektů ve hře ap.)
gonna       - 1 -	gonna      chystám se udělat
wanna       - 1 -	wanna      chtít (slang, zkratka od want to)
abroad       - 2 -	abroad      1. do/v zahraničí, za hranicemi 2. (rozšířený) mezi lidmi (zvěst ap.)
abortion       - 2 -	abortion      1. umělý potrat 2. potracený plod
at       - 2 -	at      1. u, v, na 2. zavináč
attractive       - 2 -	attractive      1. atraktivní 2. přitažlivý (síla, člověk ap.)
be       - 2 -	be      1. být 2. existovat
because       - 1 -	because      protože, jelikož (uvádí důvod)
boy       - 2 -	boy      1. chlapec, kluk, hoch 2. hochu (v oslovení)
but       - 3 -	but      1. ale, avšak 2. kromě, až na, s výjimkou 3. jen(om), pouze
every       - 2 -	every      1. každý 2. veškerý
family       - 4 -	family      1. rodina 2. čeleď (bot.) 3. rodinný 4. rod
flat       - 13 -	flat      1. plochý, rovný 2. fádní 3. rozhodný 4. snížený o půl tónu 5. falešný 6. vyprchaný 7. vybitý 8. pichlý 9. pevný (cena ap.) 10. na chlup, přesně 11. falešně 12. byt 13. nota snížená o pů tónu
for       - 4 -	for      1. pro 2. za, jménem (mluvit ap.) 3. ke, vůči (cítit opovržení ap.)  4. kvůli čemu (nemohl spát ap.)
good       - 4 -	good      1. dobrý 2. hodný 3. pořádný (zdůraznění rozsahu) 4. přínos, kladný účinek nebo výsledek (léčby ap.)
happy       - 1 -	happy      šťastný
have       - 1 -	have      mít
here       - 3 -	here      1. zde, tady, tu 2. sem 3. na, tady to je
job       - 5 -	job      1. práce 2. úkol (k provedení) 3. příležitostně si (při)vydělávat 4. (přen.) obohacovat se, dělat čachry 5. čachry 6. fuška (slang.) 7. věcička, kousek (slang.) 8. čórka (slang.) 9. fixlovat (US slang.)
love       - 6 -	love      1. láska 2. milovat 3. nula 4. mít hrozně rád (spánek ap.) 5. srdečný pozdrav 6. zlato (oslovení)
lucky       - 2 -	lucky      1. štastný, mající štěstí 2. přinášející štěstí
nice       - 2 -	nice      1. pěkný, hezký 2. příjemný, milý
no       - 4 -	no      1. ne 2. o nic (jaký) 3. žádný 4. zákaz
now       - 1 -	now      teď, nyní
people       - 3 -	people      1. lidé 2. lid (národ) 3. zalidnit, osídlit, obydlet
this       - 3 -	this      1. ten(to), tenhle 2. tohle, toto, to 3. takto, takhle
time       - 9 -	time      1. čas 2. doba 3. trvání čeho 4. chvíle, časy (způsob prožití) 5. takt 6. krát (mat.) 7. načasovat 8. časový 9. termínovaný
very       - 5 -	very      1. velice, velmi 2. úplný, samý (začátek ap.) 3. právě ten(to), přesně (ten) 4. (naprosto) nej... 5. vlastní, samotný (zdůraznění)
where       - 1 -	where      kde, kam
who       - 2 -	who      1. kdo 2. který, jenž
