czech,english,pronunciation,cefr_level,audio,language,item_order,category,block_number
(neurčitý člen),a,ˈeɪ,A1,a,1,1,,
led,ice,ˈaɪs,A1,ice,1,2,,
smetana,cream,kɹˈiːm,A1,cream,1,3,,
zmrzlina,ice cream,ˈaɪs kɹˈiːm,A1,ice_cream,1,4,,
ne,no,nˈoʊ,A1,no,1,5,,
manžel,husband,hˈʌsbənd,A1,husband,1,6,,
zraněný,hurt,hˈɜːt,B1,hurt,1,7,,
ublížit,hurt,hˈɜːt,A1,hurt,1,8,,
spěch,hurry,hˈɜːɹi,A2,hurry,1,9,,
spěchat,hurry,hˈɜːɹi,A1,hurry,1,10,,
hladový,hungry,hˈʌŋɡɹi,A1,hungry,1,11,,
jak,how,hˈaʊ,A1,how,1,12,,
dům,house,hˈaʊs,A1,house,1,13,,
hodina,hour,ˈaʊɚ,A1,hour,1,14,,
hotel,hotel,hoʊtˈɛl,A1,hotel,1,15,,
horký,hot,hˈɑːt,A1,hot,1,16,,
nápad,idea,aɪdˈiə,A1,idea,1,17,,
nemocnice,hospital,hˈɑːspɪɾəl,A1,hospital,1,18,,
doufat,hope,hˈoʊp,B1,hope,1,19,,
naděje,hope,hˈoʊp,A1,hope,1,20,,
domov,home,hˈoʊm,A1,home,1,21,,
domů,home,hˈoʊm,A2,home,1,22,,
pracovat,work,wˈɜːk,A1,work,1,23,,
práce,work,wˈɜːk,A1,work,1,24,,
domácí úkol,homework,hˈoʊmwɜːk,A1,homework,1,25,,
město,town,tˈaʊn,A1,town,1,26,,
rodné město,hometown,hˈoʊmtaʊn,A1,hometown,1,27,,
den,day,dˈeɪ,A1,day,1,28,,
dovolená,holiday,hˈɑːlɪdˌeɪ,A1,holiday,1,29,,
otvor,hole,hˈoʊl,A1,hole,1,30,,
držet,hold,hˈoʊld,A1,hold,1,31,,
držení,hold,hˈoʊld,A2,hold,1,32,,
hobby,hobby,hˈɑːbi,A1,hobby,1,33,,
dějiny,history,hˈɪstɚɹi,A1,history,1,34,,
kopec,hill,hˈɪl,A1,hill,1,35,,
kůň,horse,hˈɔːɹs,A1,horse,1,36,,
vysoký,high,hˈaɪ,A1,high,1,37,,
zhulený,high,hˈaɪ,A2,high,1,38,,
ideál,ideal,aɪdˈiəl,A1,ideal,1,39,,
představit si,imagine,ɪmˈædʒɪn,A1,imagine,1,40,,
šťáva,juice,dʒˈuːs,A1,juice,1,41,,
soudce,judge,dʒˈʌdʒ,A1,judge,1,42,,
soudit,judge,dʒˈʌdʒ,B1,judge,1,43,,
