english,czech,id,pronunciation,audio,item_order
one,jeden,,wˈʌn,one,11
two,dva,,tˈuː,two,12
three,tři,,θɹˈiː,three,13
four,čtyři,,fˈɔːɹ,four,14
five,pět,,fˈaɪv,five,15
six,šest,,sˈɪks,six,16
seven,sedm,,sˈɛvən,seven,17
eight,osm,,ˈeɪt,eight,18
nine,devět,,nˈaɪn,nine,19
ten,deset,,tˈɛn,ten,20
eleven,jedenáct,,ᵻlˈɛvən,eleven,21
twelve,dvanáct,,twˈɛlv,twelve,22
thirteen,třináct,,θˈɜːtiːn,thirteen,23
fourteen,čtrnáct,,fˈɔːɹtiːn,fourteen,24
fifteen,patnáct,,fˈɪftiːn,fifteen,25
sixteen,šestnáct,,sˈɪkstiːn,sixteen,26
seventeen,sedmnáct,,sˈɛvəntˌiːn,seventeen,27
eighteen,osmnáct,,ˈeɪtiːn,eighteen,28
nineteen,devatenáct,,nˈaɪntiːn,nineteen,29
twenty,dvacet,,twˈɛnti,twenty,30
twenty-one,dvacet jedna,,twˈɛntiwˌʌn,twentyone,31
twenty-two,dvacet dva,,twˈɛntitˈuː,twentytwo,32
thirty,třicet,,θˈɜːɾi,thirty,33
forty,čtyřicet,,fˈɔːɹɾi,forty,34
fifty,padesát,,fˈɪfti,fifty,35
sixty,šedesát,,sˈɪksti,sixty,36
seventy,sedmdesát,,sˈɛvənti,seventy,37
eighty,osmdesát,,ˈeɪɾi,eighty,38
ninety,devadesát,,nˈaɪnti,ninety,39
one hundred,sto,,wˈʌn hˈʌndɹɪd,one_hundred,40
one thousand,tisíc,,wˈʌn θˈaʊzənd,one_thousand,41
one thousand two hundred twenty-two,jeden tisíc dvě stě dvacet dva,,wˈʌn θˈaʊzənd tˈuː hˈʌndɹɪd twˈɛntitˈuː,one_thousand_two_hundred_twentytwo,42
twelve hundred and thirty-four,dvanáct set třicet čtyři,,twˈɛlv hˈʌndɹɪd ænd θˈɜːɾifˈɔːɹ,twelve_hundred_and_thirtyfour,43
one million,jeden milion,,wˈʌn mˈɪliən,one_million,44
one billion,jedna miliarda,,wˈʌn bˈɪliən,one_billion,45
one trillion,jeden bilion,,wˈʌn tɹˈɪliən,one_trillion,46
