english,czech,id,pronunciation,audio,item_order
first,první,,fˈɜːst,first,47
second,druhý,,sˈɛkənd,second,48
third,třetí,,θˈɜːd,third,49
fourth,čtvrtý,,fˈɔːɹθ,fourth,50
twenty-first,dvacátý první,,twˈɛntifˈɜːst,twentyfirst,51
twenty-second,dvacátý druhý,,twˈɛntisˈɛkənd,twentysecond,52
twenty-third,dvacátý třetí,,twˈɛntiθˈɜːd,twentythird,53
twenty-fourth,dvacátý čtvrtý,,twˈɛntifˈɔːɹθ,twentyfourth,54
thirtieth,třicátý,,θˈɜːɾiəθ,thirtieth,55
fortieth,čtyřicátý,,fˈɔːɹɾiəθ,fortieth,56
fiftieth,padesátý,,fˈɪftiəθ,fiftieth,57
sixtieth,šedesátý,,sˈɪkstiəθ,sixtieth,58
seventieth,sedmdesátý,,sˈɛvəntˌiəθ,seventieth,59
eightieth,osmdesátý,,ˈeɪɾiəθ,eightieth,60
ninetieth,devadesátý,,nˈaɪntiəθ,ninetieth,61
one hundredth,jedna setina,,wˈʌn hˈʌndɹədθ,one_hundredth,62
one hundred and first,sto první,,wˈʌn hˈʌndɹɪd ænd fˈɜːst,one_hundred_and_first,63
one millionth,jedna miliontina,,wˈʌn mˈɪliənθ,one_millionth,64
one billionth,jedna miliardtina,,wˈʌn bˈɪliənθ,one_billionth,65
one trillionth,jedna biliontina,,wˈʌn tɹˈɪliənθ,one_trillionth,66
