english,czech,id,pronunciation,audio,item_order
one,jeden,,wˈʌn,one,1
two,dva,,tˈuː,two,2
three,tři,,θɹˈiː,three,3
four,čtyři,,fˈɔːɹ,four,4
five,pět,,fˈaɪv,five,5
six,šest,,sˈɪks,six,6
seven,sedm,,sˈɛvən,seven,7
eight,osm,,ˈeɪt,eight,8
nine,devět,,nˈaɪn,nine,9
ten,deset,,tˈɛn,ten,10
eleven,jedenáct,,ᵻlˈɛvən,eleven,11
twelve,dvanáct,,twˈɛlv,twelve,12
thirteen,třináct,,θˈɜːtiːn,thirteen,13
fourteen,čtrnáct,,fˈɔːɹtiːn,fourteen,14
fifteen,patnáct,,fˈɪftiːn,fifteen,15
sixteen,šestnáct,,sˈɪkstiːn,sixteen,16
seventeen,sedmnáct,,sˈɛvəntˌiːn,seventeen,17
eighteen,osmnáct,,ˈeɪtiːn,eighteen,18
nineteen,devatenáct,,nˈaɪntiːn,nineteen,19
twenty,dvacet,,twˈɛnti,twenty,20
twenty-one,dvacet jedna,,twˈɛntiwˌʌn,twentyone,21
twenty-two,dvacet dva,,twˈɛntitˈuː,twentytwo,22
thirty,třicet,,θˈɜːɾi,thirty,23
forty,čtyřicet,,fˈɔːɹɾi,forty,24
fifty,padesát,,fˈɪfti,fifty,25
sixty,šedesát,,sˈɪksti,sixty,26
seventy,sedmdesát,,sˈɛvənti,seventy,27
eighty,osmdesát,,ˈeɪɾi,eighty,28
ninety,devadesát,,nˈaɪnti,ninety,29
one hundred,sto,,wˈʌn hˈʌndɹɪd,one_hundred,30
one thousand,tisíc,,wˈʌn θˈaʊzənd,one_thousand,31
one thousand two hundred twenty-two,jeden tisíc dvě stě dvacet dva,,wˈʌn θˈaʊzənd tˈuː hˈʌndɹɪd twˈɛntitˈuː,one_thousand_two_hundred_twentytwo,32
twelve hundred and thirty-four,dvanáct set třicet čtyři,,twˈɛlv hˈʌndɹɪd ænd θˈɜːɾifˈɔːɹ,twelve_hundred_and_thirtyfour,33
one million,jeden milion,,wˈʌn mˈɪliən,one_million,34
one billion,jedna miliarda,,wˈʌn bˈɪliən,one_billion,35
one trillion,jeden bilion,,wˈʌn tɹˈɪliən,one_trillion,36
