czech,english,pronunciation,cefr_level,audio,language,item_order,category,block_number
(neurčitý člen),a,ˈeɪ,A1,a,1,1,,
led,ice,ˈaɪs,A1,ice,1,3,,
smetana,cream,kɹˈiːm,A1,cream,1,253,,
zmrzlina,ice cream,ˈaɪs kɹˈiːm,A1,ice_cream,1,2,,
ne,no,nˈoʊ,A1,no,1,799,,
manžel,husband,hˈʌsbənd,A1,husband,1,5,,
zraněný,hurt,hˈɜːt,B1,hurt,1,3402,,
ublížit,hurt,hˈɜːt,A1,hurt,1,6,,
spěch,hurry,hˈɜːɹi,A2,hurry,1,1770,,
spěchat,hurry,hˈɜːɹi,A1,hurry,1,7,,
hladový,hungry,hˈʌŋɡɹi,A1,hungry,1,8,,
jak,how,hˈaʊ,A1,how,1,9,,
dům,house,hˈaʊs,A1,house,1,10,,
hodina,hour,ˈaʊɚ,A1,hour,1,11,,
hotel,hotel,hoʊtˈɛl,A1,hotel,1,12,,
horký,hot,hˈɑːt,A1,hot,1,13,,
nápad,idea,aɪdˈiə,A1,idea,1,14,,
nemocnice,hospital,hˈɑːspɪɾəl,A1,hospital,1,15,,
doufat,hope,hˈoʊp,B1,hope,1,2610,,
naděje,hope,hˈoʊp,A1,hope,1,16,,
domov,home,hˈoʊm,A1,home,1,19,,
domů,home,hˈoʊm,A2,home,1,1954,,
pracovat,work,wˈɜːk,A1,work,1,654,,
práce,work,wˈɜːk,A1,work,1,655,,
domácí úkol,homework,hˈoʊmwɜːk,A1,homework,1,17,,
město,town,tˈaʊn,A1,town,1,687,,
rodné město,hometown,hˈoʊmtaʊn,A1,hometown,1,18,,
den,day,dˈeɪ,A1,day,1,298,,
dovolená,holiday,hˈɑːlɪdˌeɪ,A1,holiday,1,20,,
otvor,hole,hˈoʊl,A1,hole,1,21,,
držet,hold,hˈoʊld,A1,hold,1,22,,
držení,hold,hˈoʊld,A2,hold,1,1949,,
hobby,hobby,hˈɑːbi,A1,hobby,1,23,,
dějiny,history,hˈɪstɚɹi,A1,history,1,24,,
kopec,hill,hˈɪl,A1,hill,1,27,,
kůň,horse,hˈɔːɹs,A1,horse,1,28,,
vysoký,high,hˈaɪ,A1,high,1,29,,
zhulený,high,hˈaɪ,A2,high,1,1985,,
ideál,ideal,aɪdˈiəl,A1,ideal,1,30,,
představit si,imagine,ɪmˈædʒɪn,A1,imagine,1,31,,
šťáva,juice,dʒˈuːs,A1,juice,1,32,,
soudce,judge,dʒˈʌdʒ,A1,judge,1,33,,
soudit,judge,dʒˈʌdʒ,B1,judge,1,3522,,
spojit se,join,dʒˈɔɪn,A1,join,1,34,,
práce,job,dʒˈɑːb,A1,job,1,35,,
klenot,jewel,dʒˈuːəl,B1,jewel,1,3534,,
šperky,jewellery,dʒˈuːəlɹi,A1,jewellery,1,36,,
proud,jet,dʒˈɛt,A1,jet,1,37,,
džíny,jeans,dʒˈiːnz,A1,jeans,1,38,,
bunda,jacket,dʒˈækɪt,A1,jacket,1,40,,
položka,item,ˈaɪɾəm,A1,item,1,43,,
pokud,if,ˈɪf,A1,if,1,44,,
to,it,ˈɪt,A1,it,1,45,,
je,is,ˈɪz,A1,is,1,46,,
představit se,introduce,ˌɪntɹədˈuːs,A1,introduce,1,47,,
do,into,ˈɪntʊ,A1,into,1,48,,
rozhovor,interview,ˈɪntɚvjˌuː,A1,interview,1,50,,
tazatel,interviewer,ˈɪntɚvjˌuːɚ,A1,interviewer,1,49,,
internet,internet,ˈɪntɚnˌɛt,A1,internet,1,51,,
zajímavý,interesting,ˈɪntɹɛstɪŋ,A1,interesting,1,52,,
zajímá se,interested,ˈɪntɹɛstᵻd,A1,interested,1,53,,
uvnitř,inside,ɪnsˈaɪd,A1,inside,1,54,,
informace,information,ˌɪnfɚmˈeɪʃən,A1,information,1,55,,
v,in,ˈɪn,A1,in,1,56,,
důležité,important,ɪmpˈɔːɹtənt,A1,important,1,57,,
ostrov,island,ˈaɪlənd,A1,island,1,58,,
skrýt,hide,hˈaɪd,A1,hide,1,60,,
její,hers,hˈɜːz,A1,hers,1,61,,
kytara,guitar,ɡɪtˈɑːɹ,A1,guitar,1,62,,
host,guest,ɡˈɛst,A1,guest,1,63,,
hádat,guess,ɡˈɛs,B1,guess,1,2811,,
odhad,guess,ɡˈɛs,A1,guess,1,64,,
růst,grow,ɡɹˈoʊ,A1,grow,1,65,,
seskupit,group,ɡɹˈuːp,B1,group,1,2838,,
skupina,group,ɡɹˈuːp,A1,group,1,66,,
země,ground,ɡɹˈaʊnd,A1,ground,1,67,,
pozdravit,greet,ɡɹˈiːt,A1,greet,1,68,,
zelený,green,ɡɹˈiːn,A1,green,1,69,,
nezkušený,green,ɡɹˈiːn,A2,green,1,1616,,
velký,great,ɡɹˈeɪt,A1,great,1,70,,
šedý,grey,ɡɹˈeɪ,A1,grey,1,71,,
tráva,grass,ɡɹˈæs,A1,grass,1,72,,
hroznový,grape,ɡɹˈeɪp,A1,grape,1,73,,
chlap,guy,ɡˈaɪ,A1,guy,1,74,,
rodič,parent,pˈɛɹənt,A1,parent,1,747,,
prarodič,grandparent,ɡɹˈændpɛɹənt,A1,grandparent,1,75,,
matka,mother,mˈʌðɚ,A1,mother,1,166,,
babička,grandmother,ɡɹˈændmʌðɚ,A1,grandmother,1,76,,
babička,grandma,ɡɹˈændmɑː,A1,grandma,1,77,,
otec,father,fˈɑːðɚ,A1,father,1,454,,
dědeček,grandfather,ɡɹˈændfɑːðɚ,A1,grandfather,1,78,,
gramatika,grammar,ɡɹˈæmɚ,A1,grammar,1,79,,
stupeň,grade,ɡɹˈeɪd,B2,grade,1,6221,,
svah,grade,ɡɹˈeɪd,A1,grade,1,80,,
dobrý,good,ɡˈʊd,A1,good,1,84,,
dobrou noc,good night,ɡˈʊd nˈaɪt,A1,good_night,1,81,,
dobré ráno,good morning,ɡˈʊd mˈɔːɹnɪŋ,A1,good_morning,1,82,,
poté,after,ˈæftɚ,A1,after,1,1048,,
dobré odpoledne,good afternoon,ɡˈʊd ˌæftɚnˈuːn,A1,good_afternoon,1,83,,
zlato,gold,ɡˈoʊld,A1,gold,1,85,,
gól,goal,ɡˈoʊl,A1,goal,1,86,,
jít,go,ɡˈoʊ,A1,go,1,87,,
dědeček,grandpa,ɡɹˈændpɑː,A1,grandpa,1,88,,
ahoj,hi,hˈaɪ,A1,hi,1,89,,
návyk,habit,hˈæbɪt,A1,habit,1,90,,
vlasy,hair,hˈɛɹ,A1,hair,1,91,,
zde,here,hˈɪɹ,A1,here,1,92,,
pomoc,help,hˈɛlp,A2,help,1,1901,,
pomáhat,help,hˈɛlp,A1,help,1,94,,
