block_id,block_name
1000,ˈaʊɚ
1001,hˈoʊl
1002,hˈaɪ
1003,hˈɪɹ
1004,mˈiːt
1005,mˈiːn
1006,mˈeɪl
1007,nˈoʊ
1008,lˈɛsən
1009,kˈɔːɹs
1010,dˈuː
1011,dˈɪɹ
1012,tʃˈɛk
1013,flˈaʊɚ
1014,fˈɔːɹ
1015,fˈɛɹi
1016,fˈɛɹ
1017,ðˈɛɹ
1018,tˈiːm
1019,tˈuː
1020,sˈʌn
1021,stɹˈeɪt
1022,sˈʌm
1023,wˈɛɹ
1024,wˈɜː
1025,wˈiːk
1026,wˈɛðɚ
1027,jˈuː
1028,ɹˈaɪt
1029,wˈʊd
1030,wˈeɪ
1031,wˈeɪt
1032,vˈɛɹi
1033,pˈiːs
1034,pɹˈæktɪs
1035,plˈeɪn
1036,pˈɛɹ
1037,nˈɑːt
1038,ˈɔːɹ
1039,sˈɛl
1040,sˈiː
1041,sˈaɪt
1042,sˈoʊ
1043,ɹˈiːd
1044,sˈeɪl
1045,ɹˈoʊl
1046,bˈɔːɹd
1047,bˈiː
1048,bˈɛɹ
1049,bɹˈeɪk
1050,ˈæd
1051,bˈaɪ
1052,ˈænt
1053,stˈɛɹ
1054,dˈaɪ
1055,stˈiːl
1056,stˈeɪk
1057,bˈɪn
1058,dˈæm
1059,ˈaɪəl
1060,tʃˈɪli
1061,bˈɛɹi
1062,flˈiː
1063,hˈeɪ
1064,ɹˈæp
1065,pˈiː
1066,pɹˈɪnsɪpəl
1067,wˈiːkli
1068,sˈɛnt
1069,hˈiːl
1070,hˈoʊli
1071,pɹˈaɪz
1072,ˈoʊ
1073,pˈaɪ
1074,hˈɑːstəl
1075,ˈaɪdəl
1076,kˈɑːmplɪmənt
1077,tˈeɪl
1078,kˈaʊnsəl
1079,wˈeɪst
1080,wˈɔːɹn
1081,vˈeɪn
1082,sˈɔːɹ
1083,flˈoʊ
1084,pɹˈɑːfɪt
1085,sˈɛlɚ
1086,ˈɔltɚ
1087,ˈæɡənˌaɪz
1088,ɹˈæk
1089,fˈeɪt
1090,kˈɔːɹ
1091,lˈiːk
1092,mˈædəm
1093,kˌɑːmplɪmˈɛntɚɹi
