block_id,item_id
2,17
3,31
3,39
3,40
3,72
3,75
1,76
3,77
1,78
3,79
3,83
3,88
3,90
0,99
0,100
3,104
3,105
3,106
3,107
3,110
3,111
3,112
3,113
3,114
3,116
3,118
3,140
0,141
3,142
3,145
3,147
0,164
1,167
0,172
3,180
3,186
3,189
2,191
3,238
3,239
3,240
3,242
3,243
3,244
3,245
3,309
3,317
3,318
3,319
3,322
3,330
3,343
1,346
0,347
3,356
3,367
3,368
1,427
1,436
1,452
3,453
3,454
3,455
3,458
3,460
3,464
3,473
2,474
0,475
2,476
3,478
1,482
1,483
1,484
0,485
1,486
1,487
1,488
0,489
0,490
1,491
1,494
3,505
1,510
0,511
1,518
1,524
0,527
0,528
0,529
0,530
1,531
1,532
0,533
0,534
0,535
0,536
0,537
0,539
2,541
3,550
0,566
2,567
2,569
2,572
2,573
2,589
2,602
2,603
2,604
2,605
2,609
2,610
2,611
2,612
2,613
2,614
2,615
2,616
2,617
2,618
2,619
2,620
2,621
2,622
2,623
2,624
2,625
2,626
1,627
2,628
2,629
2,630
2,631
2,643
2,647
2,648
2,649
2,650
2,651
2,652
2,653
2,654
2,655
1,656
2,658
2,659
2,660
2,666
2,667
3,681
2,691
2,692
2,693
2,694
2,695
2,696
2,697
2,698
2,699
2,700
2,701
2,702
2,703
2,704
2,705
3,726
3,740
3,746
3,749
3,759
3,760
3,777
3,779
0,789
1,823
2,832
2,833
2,834
3,839
0,880
3,919
3,924
2,925
2,926
2,927
2,928
3,940
2,941
3,944
3,946
3,961
3,965
3,968
3,972
0,977
3,979
3,980
3,983
2,986
0,990
0,991
2,1009
3,1016
0,1017
3,1020
3,1028
3,1032
3,1033
3,1035
0,1038
3,1041
3,1042
3,1043
3,1045
2,1046
3,1048
0,1058
3,1059
3,1063
1,1068
3,1071
3,1076
3,1077
3,1083
3,1085
3,1088
1,1089
3,1091
3,1095
2,1096
1,1102
3,1107
3,1110
3,1111
3,1112
3,1113
3,1114
3,1116
2,1119
3,1122
3,1143
3,1146
3,1153
0,1159
3,1167
3,1170
3,1196
0,1199
1,1203
3,1219
3,1253
3,1257
3,1269
3,1273
3,1287
2,1295
2,1300
2,1301
3,1303
2,1311
2,1313
3,1324
3,1330
2,1331
3,1349
3,1350
3,1354
3,1366
3,1370
3,1371
3,1377
3,1378
3,1379
3,1380
2,1381
2,1382
3,1385
3,1386
3,1390
3,1407
3,1420
3,1421
3,1423
1,1428
3,1434
3,1438
3,1440
2,1443
3,1446
3,1454
3,1468
3,1482
2,1492
3,1510
3,1514
3,1515
3,1519
3,1521
3,1522
3,1523
3,1525
3,1532
3,1533
3,1547
3,1548
3,1550
3,1558
3,1559
3,1570
3,1571
3,1580
3,1583
3,1585
3,1590
3,1592
3,1593
3,1594
3,1597
3,1599
3,1600
3,1602
3,1603
3,1623
3,1628
3,1632
3,1636
1,1639
3,1646
1,1661
3,1668
3,1671
2,1672
3,1687
3,1695
3,1697
1,1700
1,1712
3,1727
3,1738
3,1753
1,1754
3,1777
3,1796
2,1801
0,1803
3,1804
2,1807
2,2235
3,1821
1,1836
2,1838
2,1839
3,1840
3,1841
3,1842
3,1849
3,1852
3,1854
3,1855
2,1879
3,1894
2,1897
1,1913
1,1914
3,1916
3,1918
3,1920
3,1941
0,1943
0,1944
2,1952
3,1960
2,1970
1,1976
2,1989
0,1998
3,2005
3,2007
3,2008
2,2009
3,2010
3,2017
3,2025
2,2027
3,2028
3,2029
2,2030
3,2033
3,2034
0,2037
2,2039
0,2040
3,2042
2,2046
0,2053
2,2055
3,2060
1,2065
0,2068
2,2070
0,2071
1,2072
2,2079
0,2082
3,2085
2,2086
2,2087
0,2089
2,2091
0,2095
3,2098
3,2100
3,2102
2,2115
3,2119
2,2120
2,2122
3,2123
3,2124
0,2125
0,2128
2,2129
0,2137
2,2138
2,2139
2,2142
3,2143
2,2144
2,2151
3,2153
3,2156
3,2157
2,2158
3,2161
2,2162
2,2163
3,2171
3,2175
3,2180
0,2181
2,2186
2,2187
2,2188
2,2189
2,2190
3,2192
3,2193
3,2194
3,2195
2,2198
2,2202
2,2203
3,2204
3,2205
2,2206
2,2209
3,2213
3,2217
3,2219
2,2220
2,2223
2,2225
2,2226
2,2228
3,2233
2,2237
3,2240
2,2241
3,2248
3,2249
0,2252
0,2253
3,2255
3,2257
3,2261
0,2264
3,2265
3,2266
1,2268
3,2284
3,2287
3,2289
3,2291
3,2294
3,2296
0,2317
3,2318
2,2320
2,2323
3,2325
2,2328
2,2331
0,2341
3,2350
3,2352
3,2354
3,2356
3,2357
3,2358
3,2359
3,2360
3,2361
3,2367
3,2368
3,2371
3,2372
2,2384
3,2388
3,2394
3,2395
3,2398
2,2411
3,2413
3,2416
3,2422
1,2423
2,2426
3,2427
2,2432
2,2437
2,2438
2,2440
3,2442
3,2443
0,2444
1,2445
3,2452
3,2454
1,2466
1,2469
3,2473
2,2476
2,2477
3,2480
2,2487
3,2494
2,2495
3,2497
3,2501
3,2506
3,2511
3,2517
3,2518
3,2521
2,2527
3,2533
2,2534
3,2539
3,2540
3,2543
3,2544
2,2545
3,2549
3,2552
3,2555
3,2568
3,2571
3,2593
2,2594
3,2595
3,2597
3,2599
3,2602
1,2619
3,2626
0,2636
2,2637
3,2643
3,2647
3,2669
3,2671
3,2672
3,2677
3,2686
3,2688
3,2692
3,2701
3,2702
3,2705
3,2707
3,2712
2,2715
3,2719
3,2728
3,2747
2,2754
2,2755
2,2756
1,2766
1,2768
1,2769
3,2783
3,2785
3,2786
3,2789
3,2799
0,2802
3,2803
2,2817
2,2819
3,2830
3,2836
3,2839
3,2842
3,2843
3,2847
3,2849
3,2854
3,2855
3,2857
3,2859
3,2864
3,2868
2,2870
3,2872
3,2874
3,2875
2,2881
2,2883
3,2888
3,2896
3,2907
3,2916
3,2917
3,2918
3,2919
3,2921
3,2929
3,2935
3,2939
3,2951
3,2954
3,2956
0,2957
3,2958
3,2970
1,2972
3,2977
3,2979
3,2983
3,2985
3,2990
3,2997
3,3000
3,3001
3,3011
3,3017
3,3019
3,3022
0,3029
3,3038
1,3039
2,3042
0,3068
2,3084
2,3086
3,3094
3,3096
3,3102
2,3103
3,3105
3,3107
