block_id,item_id
5000,6
5000,3399
5001,7
5001,1767
5002,16
5002,2607
5003,19
5003,1951
5004,22
5004,1946
5005,29
5005,1982
5006,33
5006,3519
5007,41
5007,42
5008,56
5008,1819
5009,64
5009,2808
5010,66
5010,2835
5011,69
5011,1613
5012,84
5012,6209
5013,94
5013,1898
5014,108
5014,109
5015,116
5015,1592
5016,123
5016,6859
5017,134
5017,151
5018,135
5018,2392
5018,6869
5019,138
5019,139
5020,140
5020,2352
5021,142
5021,3178
5022,143
5022,3175
5022,3176
5023,150
5023,3143
5024,153
5024,3466
5025,163
5025,2045
5026,165
5026,2093
5027,186
5027,2977
5028,193
5028,2968
5029,198
5029,3049
5030,200
5030,1174
5031,202
5031,3061
5032,203
5032,204
5033,208
5033,1458
5034,215
5034,216
5035,217
5035,1292
5036,218
5036,962
5037,219
5037,1317
5038,223
5038,3284
5039,224
5039,3253
5040,226
5040,7371
5041,228
5041,7366
5042,230
5042,231
5043,232
5043,233
5043,3252
5044,9644
5044,9647
5045,242
5045,243
5046,247
5046,3856
5047,250
5047,1264
5048,252
5048,1171
5049,254
5049,1150
5050,258
5050,6664
5051,261
5051,1445
5052,263
5052,6390
5053,265
5053,266
5054,271
5054,1786
5054,6040
5055,283
5055,3830
5056,291
5056,4836
5057,297
5057,4746
5058,308
5058,1361
5059,310
5059,311
5060,313
5060,3809
5061,317
5061,318
5062,325
5062,4135
5063,336
5063,337
5064,342
5064,6490
5065,349
5065,350
5066,354
5066,355
5067,358
5067,1813
5068,359
5068,1795
5069,360
5069,1794
5070,362
5070,6322
5071,363
5071,364
5072,367
5072,6306
5073,371
5073,4559
5074,372
5074,374
5075,375
5075,376
5076,377
5076,4583
5076,6233
5077,380
5077,6229
5078,381
5078,4704
5079,387
5079,6236
5080,390
5080,1692
5081,399
5081,2771
5082,409
5082,1675
5082,6195
5083,413
5083,4605
5084,417
5084,1666
5085,418
5085,1708
5086,423
5086,1883
5087,427
5087,1976
5088,442
5088,1787
5089,444
5089,1789
5089,7873
5089,7875
5090,445
5090,446
5091,447
5091,1950
5092,454
5092,455
5093,463
5093,4665
5094,465
5094,1546
5095,468
5095,1621
5096,469
5096,4442
5097,479
5097,3545
5098,481
5098,2155
5098,6785
5099,487
5099,488
5100,492
5100,5816
5101,507
5101,3756
5102,520
5102,521
5103,528
5103,2125
5104,543
5104,1197
5105,544
5105,1223
5106,545
5106,3890
5107,547
5107,548
5108,549
5108,4833
5109,550
5109,1257
5110,554
5110,570
5111,557
5111,1781
5112,573
5112,1311
5113,575
5113,3674
5114,576
5114,1321
5115,584
5115,5005
5116,597
5116,1254
5117,599
5117,4347
5118,601
5118,4340
5119,602
5119,5139
5120,603
5120,5145
5121,606
5121,607
5122,609
5122,610
5123,611
5123,612
5124,613
5124,615
5125,614
5125,5118
5126,616
5126,628
5127,618
5127,619
5128,621
5128,622
5129,623
5129,4159
5130,648
5130,2323
5131,651
5131,652
5132,657
5132,2292
5133,660
5133,5327
5134,664
5134,4296
5135,669
5135,670
5136,679
5136,5741
5137,681
5137,2156
5138,682
5138,2254
5139,691
5139,692
5140,693
5140,694
5141,696
5141,4048
5142,698
5142,5226
5143,700
5143,701
5144,702
5144,4053
5145,706
5145,4014
5146,708
5146,709
5147,716
5147,2313
5148,723
5148,7031
5149,725
5149,2697
5150,728
5150,729
5151,738
5151,739
5152,740
5152,2868
5153,743
5153,2183
5154,745
5154,2502
5155,751
5155,2658
5156,755
5156,5254
5157,757
5157,2878
5157,5355
5158,763
5158,2288
5159,768
5159,2290
5160,772
5160,2774
5161,774
5161,775
5162,777
5162,2677
5163,787
5163,6824
5164,791
5164,792
5165,796
5165,797
5166,812
5166,813
5167,817
5167,2019
5168,819
5168,7054
5169,824
5169,2364
5170,828
5170,829
5171,832
5171,833
5172,834
5172,6808
5173,835
5173,2314
5174,839
5174,2521
5175,845
5175,5228
5176,846
5176,1739
5177,849
5177,850
5178,852
5178,4570
5179,856
5179,4634
5180,859
5180,1669
5181,864
5181,1744
5182,866
5182,4916
5183,876
5183,1919
5184,879
5184,1909
5185,881
5185,4450
5186,882
5186,4452
5187,885
