block_id,english,category_id
5000,hurt,5
5001,hurry,5
5002,hope,5
5003,home,5
5004,hold,5
5005,high,5
5006,judge,5
5007,its,5
5008,in,5
5009,guess,5
5010,group,5
5011,green,5
5012,good,5
5013,help,5
5014,hard,5
5015,half,5
5016,mine,5
5017,Miss,5
5018,mean,5
5019,May,5
5020,matter,5
5021,match,5
5022,March,5
5023,mail,5
5024,name,5
5025,move,5
5026,mobile,5
5027,laugh,5
5028,leave,5
5029,kiss,5
5030,kind,5
5031,kid,5
5032,kick,5
5033,left,5
5034,love,5
5035,lot,5
5036,look,5
5037,long,5
5038,live,5
5039,little,5
5040,list,5
5041,line,5
5042,like,5
5043,light,5
5044,you are,5
5045,dance,5
5046,cut,5
5047,cry,5
5048,cream,5
5049,cover,5
5050,correct,5
5051,copy,5
5052,cool,5
5053,cook,5
5054,down,5
5055,date,5
5056,design,5
5057,dig,5
5058,check,5
5059,change,5
5060,circle,5
5061,catch,5
5062,care,5
5063,cold,5
5064,coach,5
5065,close,5
5066,clean,5
5067,draw,5
5068,dream,5
5069,dress,5
5070,focus,5
5071,fly,5
5072,flat,5
5073,fish,5
5074,first,5
5075,finish,5
5076,fine,5
5077,file,5
5078,fight,5
5079,fire,5
5080,for,5
5081,future,5
5082,free,5
5083,form,5
5084,front,5
5085,feel,5
5086,end,5
5087,either,5
5088,drop,5
5089,drive,5
5090,drink,5
5091,early,5
5092,fast,5
5093,fair,5
5094,face,5
5095,exercise,5
5096,excuse,5
5097,near,5
5098,need,5
5099,that,5
5100,test,5
5101,talk,5
5102,to,5
5103,throw,5
5104,still,5
5105,step,5
5106,stay,5
5107,start,5
5108,star,5
5109,stand,5
5110,stop,5
5111,spell,5
5112,sweet,5
5113,surprise,5
5114,surf,5
5115,store,5
5116,straight,5
5117,top,5
5118,touch,5
5119,win,5
5120,will,5
5121,whose,5
5122,white,5
5123,which,5
5124,where,5
5125,wind,5
5126,when,5
5127,what,5
5128,well,5
5129,welcome,5
5130,worry,5
5131,work,5
5132,wrong,5
5133,water,5
5134,type,5
5135,turn,5
5136,trip,5
5137,travel,5
5138,train,5
5139,watch,5
5140,wash,5
5141,warm,5
5142,want,5
5143,walk,5
5144,wake,5
5145,vote,5
5146,visit,5
5147,use,5
5148,picture,5
5149,pick,5
5150,phone,5
5151,pay,5
5152,past,5
5153,park,5
5154,pardon,5
5155,place,5
5156,price,5
5157,present,5
5158,post,5
5159,point,5
5160,please,5
5161,play,5
5162,plan,5
5163,now,5
5164,note,5
5165,no,5
5166,paint,5
5167,own,5
5168,outside,5
5169,order,5
5170,open,5
5171,one,5
5172,once,5
5173,on,5
5174,programme,5
5175,shower,5
5176,show,5
5177,short,5
5178,shop,5
5179,ship,5
5180,share,5
5181,set,5
5182,sentence,5
5183,snow,5
5184,smoke,5
5185,smile,5
5186,smell,5
5187,sign,5
5188,sleep,5
5189,review,5
5190,result,5
5191,real,5
5192,rain,5
5193,quiet,5
5194,question,5
5195,ride,5
5196,saw,5
5197,run,5
5198,rule,5
5199,row,5
5200,ring,5
5201,right,5
5202,behind,5
5203,block,5
5204,bat,5
5205,better,5
5206,before,5
5207,board,5
5208,blue,5
5209,bottle,5
5210,bowl,5
5211,best,5
5212,brush,5
5213,bear,5
5214,back,5
5215,break,5
5216,any,5
5217,black,5
