ids,english_words,pronunciations
"482,508","then,ten","ðˈɛn,tˈɛn"
"490,4255","thank,tank","θˈæŋk,tˈæŋk"
"501,5826","team,theme","tˈiːm,θˈiːm"
"510,4277","these,tease","ðˈiːz,tˈiːz"
"511,4227","thick,tick","θˈɪk,tˈɪk"
"526,9090","ticket,thicket","tˈɪkɪt,θˈɪkɪt"
"529,676","through,true","θɹˈuː,tɹˈuː"
"530,680","three,tree","θɹˈiː,tɹˈiː"
"537,4220","thin,tin","θˈɪn,tˈɪn"
"656,5098","with,wit","wˈɪð,wˈɪt"
"871,5797","sight,scythe","sˈaɪt,sˈaɪð"
"983,1017","bat,bath","bˈæt,bˈæθ"
"991,1079","both,boat","bˈoʊθ,bˈoʊt"
"1199,3842","death,debt","dˈɛθ,dˈɛt"
"1493,4474","suit,soothe","sˈuːt,sˈuːð"
"1997,2072","toe,though","tˈoʊ,ðˈoʊ"
"2071,8416","thought,taut","θˈɔːt,tˈɔːt"
"2105,5827","tie,thigh","tˈaɪ,θˈaɪ"
"4567,6241","boot,booth","bˈuːt,bˈuːθ"
"5649,5786","tread,thread","tɹˈɛd,θɹˈɛd"
"5808,7805","thinker,tinker","θˈɪŋkɚ,tˈɪŋkɚ"
"6015,6256","faith,fate","fˈeɪθ,fˈeɪt"
