ids,english_words,pronunciations
"64,1738","guess,gas","ɡˈɛs,ɡˈæs"
"102,104","head,had","hˈɛd,hˈæd"
"128,1371","merry,marry","mˈɛɹi,mˈæɹi"
"236,1454","letter,latter","lˈɛɾɚ,lˈæɾɚ"
"242,6575","dance,dense","dˈæns,dˈɛns"
"245,1206","dad,dead","dˈæd,dˈɛd"
"423,980","end,and","ˈɛnd,ˈænd"
"480,9078","neck,knack","nˈɛk,nˈæk"
"508,5391","ten,tan","tˈɛn,tˈæn"
"736,2248","pen,pan","pˈɛn,pˈæn"
"983,2499","bat,bet","bˈæt,bˈɛt"
"984,8465","better,batter","bˈɛɾɚ,bˈæɾɚ"
"1059,1243","bag,beg","bˈæɡ,bˈɛɡ"
"1061,1044","bed,bad","bˈɛd,bˈæd"
"1095,1780","band,bend","bˈænd,bˈɛnd"
"1287,8071","jam,gem","dʒˈæm,dʒˈɛm"
"1438,1504","land,lend","lˈænd,lˈɛnd"
"1446,7384","last,lest","lˈæst,lˈɛst"
"1635,3414","send,sand","sˈɛnd,sˈænd"
"1678,1687","shell,shall","ʃˈɛl,ʃˈæl"
"2217,5655","track,trek","tɹˈæk,tɹˈɛk"
"2300,7411","mention,mansion","mˈɛnʃən,mˈænʃən"
"2595,6980","paddle,pedal","pˈædəl,pˈɛdəl"
"2954,9574","mash,mesh","mˈæʃ,mˈɛʃ"
"3072,4260","kettle,cattle","kˈɛɾəl,kˈæɾəl"
"3260,3327","mess,mass","mˈɛs,mˈæs"
"3682,7728","command,commend","kəmˈænd,kəmˈɛnd"
"4098,9529","adapt,adept","ɐdˈæpt,ɐdˈɛpt"
"4241,5488","tend,tanned","tˈɛnd,tˈænd"
"4566,6323","flash,flesh","flˈæʃ,flˈɛʃ"
"4683,8671","extent,extant","ɛkstˈɛnt,ɛkstˈænt"
"5207,8642","wreck,wrack","ɹˈɛk,,ɹˈæk"
"6890,7458","melody,malady","mˈɛlədi,mˈælədi"
