english_words,block_id,category_id
"then, ten",2000,3
"thank, tank",2001,3
"team, theme",2002,3
"these, tease",2003,3
"thick, tick",2004,3
"ticket, thicket",2005,3
"through, true",2006,3
"three, tree",2007,3
"thin, tin",2008,3
"with, wit",2009,3
"sight, scythe",2010,3
"bat, bath",2011,3
"both, boat",2012,3
"death, debt",2013,3
"suit, soothe",2014,3
"toe, though",2015,3
"thought, taut",2016,3
"tie, thigh",2017,3
"boot, booth",2018,3
"tread, thread",2019,3
"thinker, tinker",2020,3
"faith, fate",2021,3
"very, wary",2022,3
"wet, vet",2023,3
"worse, verse",2024,3
"vein, wane",2025,3
"guess, gas",2026,3
"head, had",2027,3
"merry, marry",2028,3
"letter, latter",2029,3
"dance, dense",2030,3
"dad, dead",2031,3
"end, and",2032,3
"neck, knack",2033,3
"ten, tan",2034,3
"pen, pan",2035,3
"bat, bet",2036,3
"better, batter",2037,3
"bag, beg",2038,3
"bed, bad",2039,3
"band, bend",2040,3
"jam, gem",2041,3
"land, lend",2042,3
"last, lest",2043,3
"send, sand",2044,3
"shell, shall",2045,3
"track, trek",2046,3
"mention, mansion",2047,3
"paddle, pedal",2048,3
"mash, mesh",2049,3
"kettle, cattle",2050,3
"mess, mass",2051,3
"command, commend",2052,3
"adapt, adept",2053,3
"tend, tanned",2054,3
"flash, flesh",2055,3
"extent, extant",2056,3
"wreck, wrack",2057,3
"melody, malady",2058,3
